Regiões do IMEA Centro-Sul,Médio-Norte,Nordeste,,Noroeste,Norte,Oeste,Sudeste,Mato Grosso
"3-jan-20 0,00%","0,39%","0,00%",,"0,09%","0,00%","0,21%","0,35%","0,23%"
"10-jan-20 0,94%","3,08%","0,07%",,"1,80%","1,63%","2,01%","1,34%","1,79%"
"17-jan-20 3,88%","8,04%","031/,ja4n4%",,"5,01%","6,23%","6,49%","6,65%","5,86%"
"24-jan-20 11,23%","20,29%","5,36%",,"11,27%","16,92%","17,60%","12,39%","14,42%"
"10/jan31-jan-20 19,53%","35,63%","10,81%",,"24,86%","25,36%","39,15%","22,15%","26,67%"
"7-fev-20 30,78%","60,87%","21,11%",,"41,34%","40,25%","60,79%","35,57%","44,51%"
"14-fev-20 41,23%","71,33%","1376/ja,2n8%",,"56,23%","59,03%","76,33%","52,27%","58,22%"
"21-fev-20 58,31%","87,90%","47,50%",,"75,41%","76,81%","88,75%","66,31%","73,18%"
"28-fev-20 77,45%","95,26%","2644/ja,2n9%",,"89,06%","84,44%","93,63%","78,11%","84,10%"
"6-mar-20 91,40%","99,21%","74,70%",,"98,29%","89,48%","96,40%","88,42%","91,47%"
"13-mar-20 97,24%","100,00%","3818/ja,0n6%",,"99,52%","98,36%","99,35%","96,48%","96,86%"
"20-mar-20 99,42%","100,00%","91,83%",,"100,00%","99,77%","100,00%","99,17%","98,38%"
"27-mar-20 100,00%","100,00%","0975/f,e9v3%",,"100,00%","100,00%","100,00%","100,00%","99,30%"
"3-abr-20 100,00%","100,00%","99,02%",,"100,00%","100,00%","100,00%","100,00%","99,83%"
"10-abr-20 100,00%","100,00%","1949/f,e6v7%",,"100,00%","100,00%","100,00%","100,00%","99,94%"
"17-abr-20 100,00%","100,00%","100,00%",,"100,00%","100,00%","100,00%","100,00%","100,00%"
"?  Semanal* 0,00 p.p.","0,00 p.p.","021,3/f3ev p.p.",,"0,00 p.p.","0,00 p.p.","0,00 p.p.","0,00 p.p.","0,06 p.p."
"19-abr-19 100,00%","100,00%","100,00%",,"100,00%","100,00%","100,00%","100,00%","100,00%"
"",,28/fev,,,,,,
? entre Safra 18/19 e,,,,,,,,
"0,00 p.p.","0,00 p.p.","0,00 p.p.",,"0,00 p.p.","0,00 p.p.","0,00 p.p.","0,00 p.p.","0,00 p.p."
Safra 19/20*,,06/mar,,,,,,
