;periodo;centro_sul;medio_norte;nordeste;noroeste;norte;oeste;sudeste;mato_grosso;dia;mes;ano;arquivo;nrmes
0;3-jan-20;0.00;0.39;0.00;0.09;0.00;0.21;0.35;0.23;3;jan;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;01
1;10-jan-20;0.94;3.08;0.07;1.80;1.63;2.01;1.34;1.79;10;jan;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;01
2;17-jan-20;3.88;8.04;1.44;5.01;6.23;6.49;6.65;5.86;17;jan;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;01
3;24-jan-20;11.23;20.29;5.36;11.27;16.92;17.60;12.39;14.42;24;jan;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;01
4;31-jan-20;19.53;35.63;10.81;24.86;25.36;39.15;22.15;26.67;31;jan;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;01
5;7-fev-20;30.78;60.87;21.11;41.34;40.25;60.79;35.57;44.51;7;fev;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;02
6;14-fev-20;41.23;71.33;36.28;56.23;59.03;76.33;52.27;58.22;14;fev;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;02
7;21-fev-20;58.31;87.90;47.50;75.41;76.81;88.75;66.31;73.18;21;fev;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;02
8;28-fev-20;77.45;95.26;64.29;89.06;84.44;93.63;78.11;84.10;28;fev;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;02
9;6-mar-20;91.40;99.21;74.70;98.29;89.48;96.40;88.42;91.47;6;mar;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;03
10;13-mar-20;97.24;100.00;88.06;99.52;98.36;99.35;96.48;96.86;13;mar;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;03
11;20-mar-20;99.42;100.00;91.83;100.00;99.77;100.00;99.17;98.38;20;mar;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;03
12;27-mar-20;100.00;100.00;95.93;100.00;100.00;100.00;100.00;99.30;27;mar;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;03
13;3-abr-20;100.00;100.00;99.02;100.00;100.00;100.00;100.00;99.83;3;abr;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;04
14;10-abr-20;100.00;100.00;99.67;100.00;100.00;100.00;100.00;99.94;10;abr;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;04
15;17-abr-20;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;17;abr;20;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;04
17;19-abr-19;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;19;abr;19;./arquivos_soja\c8906054-3f39-11eb-807a-794b894fab8f.pdf;04
